"OpCode","Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.","Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.","Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.","Relief: 3. Good relief structure with some overhangs. >45 substrate slope.","Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.","Relief: 5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope.","fieldofview.Limited","fieldofview.Open","Biota: Consolidated","Biota: Macroalgae","Biota: Octocoral.Black","Biota: Sponges","Biota: Stony.corals","Biota: Unconsolidated","Biota: Consolidated: Boulder: Turf mat","Biota: Consolidated: Boulder: Veneer","Biota: Consolidated: Cobbles: Turf mat","Biota: Consolidated: Rock: Turf mat","Biota: Macroalgae: Articulated calcareous","Biota: Macroalgae: Erect course branching: Brown","Biota: Macroalgae: Erect course branching: Green","Biota: Macroalgae: Erect fine branching: Brown","Biota: Macroalgae: Erect fine branching: Green","Biota: Macroalgae: Erect fine branching: Red","Biota: Macroalgae: Filamentous and filiform","Biota: Macroalgae: Laminate","Biota: Macroalgae: Sheet-like membranous","Biota: Macroalgae: Small mixed","Biota: Octocoral/Black: Branching (3D)","Biota: Octocoral/Black: Fan (2D)","Biota: Octocoral/Black: Massive soft corals","Biota: Octocoral/Black: Small mixed","Biota: Sponges: Crusts","Biota: Sponges: Erect forms","Biota: Stony corals: Corymbose: Live","Biota: Stony corals: Encrusting: Live","Biota: Stony corals: Foliose / plate: Live","Biota: Stony corals: Massive: Live","Biota: Stony corals: Small mixed: Live","Biota: Stony corals: Staghorn: Live","Biota: Stony corals: Sub-massive: Bleached","Biota: Stony corals: Sub-massive: Live","Biota: Unconsolidated: Pebble / gravel (biogenic)","Biota: Unconsolidated: Pebble / gravel (gravel 2-10mm)","Biota: Unconsolidated: Pebble / gravel (pebble 10-64mm)","Biota: Unconsolidated: Sand / mud (coarse sand)","Biota: Unconsolidated: Sand / mud (fine sand)"
"MNCB312",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB313",0,15,0,0,0,0,0,20,0,14,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MNCB314",0,9,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB315",0,9,1,0,0,0,0,20,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB316",0,10,0,1,0,0,0,20,0,9,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"MNCB317",2,2,5,2,0,0,0,20,4,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4
"MNCB318",0,0,0,1,17,1,0,20,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,2,0,0,0,0,0,0,0,0
"MNCB319",0,0,2,0,10,0,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"MNCB320",0,12,0,0,0,0,0,20,0,12,0,0,0,0,0,0,0,0,0,5,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB321",0,9,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB322",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,2,3,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB323",1,13,0,0,0,0,0,20,0,9,1,0,3,1,0,0,0,0,0,1,0,0,2,0,2,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"NCB1416",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1417",0,0,13,1,0,0,0,20,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1418",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1419",1,9,0,0,0,0,0,20,0,9,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NCB1421",1,9,0,0,0,0,0,20,0,7,0,0,2,1,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"NCB1422",10,10,0,0,0,0,0,20,0,5,0,0,0,15,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"NCB1424",0,11,0,0,0,0,0,20,0,11,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1425",0,13,0,0,0,0,0,20,0,9,0,0,4,0,0,0,0,0,1,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"NCB1427",0,8,1,0,0,0,0,20,0,8,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NCB1428",1,8,0,0,0,0,0,20,0,6,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"NCB1429",0,5,0,0,0,0,0,20,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1430",0,6,0,0,0,0,0,20,0,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1431",0,5,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1434",0,14,1,0,0,0,0,20,0,13,0,0,2,0,0,0,0,0,1,0,0,3,1,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"NCB1436",1,6,1,0,0,0,0,20,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"NCB1438",0,10,0,0,0,0,0,20,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NCB1439",1,8,0,0,0,0,0,20,2,4,0,0,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"NCB1440",0,10,0,0,0,0,0,20,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1441",4,0,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"NCB1442",0,6,6,5,1,0,0,20,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0
"NCB1443",5,3,0,2,0,0,3,17,2,0,0,0,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
"NCB1445",0,4,1,0,0,0,0,20,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"NCB1532",0,4,0,0,0,0,0,20,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1533",0,7,1,0,0,0,0,20,2,0,2,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
"NCB1534",1,8,1,0,0,0,0,20,0,4,0,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"NCB1545",4,2,1,0,0,0,0,20,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0
"NCB1546",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1547",10,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
"NCB1548",1,2,4,7,0,0,10,10,7,0,3,1,2,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"NCB1549",12,4,0,3,0,0,0,20,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,14,0
"NCB1550",3,6,0,0,2,0,0,20,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0
"NCB1551",0,9,0,0,0,0,0,20,0,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1552",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1553",0,12,0,0,0,0,0,20,0,8,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"NCB1554",0,9,1,0,0,0,0,19,0,9,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1555",5,1,0,0,0,0,0,20,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"NCB1556",1,13,0,0,0,0,0,20,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"NCB1557",0,6,0,0,0,0,0,20,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"NCB1558",1,9,0,0,0,0,0,20,0,4,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"NCB1559",0,5,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1560",2,9,0,0,0,0,0,20,0,4,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
